Date Time,Stock,Exchange,MG,MM,JS,JSratio,Permits,Starts,Completed,Unsold,Interest,JW,Reg
2006. 09,1354.0,945.2,2.3873253798307292,10.719754977029105,8.617234468937895,,-10.720822778226065,,,,0.5100000000000002,,SO
2006. 10,1403.9,944.2,2.3944976412983543,12.844036697247695,9.542743538767407,,-10.625362060094524,,,,0.5200000000000005,,SO
2006. 11,1418.8,929.9,1.790812684816978,18.844984802431618,11.111111111111116,,-12.027302606607753,,,,0.3099999999999996,,SO
2006. 12,1379.3,929.6,1.5828323567460556,22.473604826546012,10.826771653543311,,-10.490099613971259,,,,0.28000000000000025,,SO
2007. 01,1434.9,940.9,1.4807789580172148,24.215246636771283,10.526315789473696,,-10.746828688148945,,,,0.20999999999999996,,SO
2007. 02,1431.6,938.3,1.6714530431277685,22.94117647058822,9.404990403071011,,-11.115985750956636,,,,0.11999999999999922,,SO
2007. 03,1517.1,940.3,2.0616483129682672,20.863309352517987,8.918406072106254,,-11.060485333438297,,,,0.11999999999999922,,SO
2007. 04,1614.9,929.4,2.4514605782030907,19.067796610169484,8.662900188323919,,-11.129464423782519,,,,0.20999999999999996,,SO
2007. 05,1754.3,929.9,2.7494306099080212,18.232819074333804,8.458646616541344,,-11.897907347479286,,,,0.1299999999999999,,SO
2007. 06,1911.6,926.8,2.4490615276523187,18.181818181818187,8.25515947467168,,-12.456875838199695,,,,-0.08999999999999986,,SO
2007. 07,1815.0,923.2,2.1416187494543104,18.270571827057182,7.8504672897196315,,-12.035072665060323,,,,0.07000000000000028,,SO
2007. 08,1879.0,939.9,2.040359023515781,17.842323651452286,6.826568265682642,,-12.894853418730126,,,,0.3100000000000005,,SO
2007. 09,2004.6,920.7,2.9240642245361936,15.989159891598902,5.081669691470059,,-10.899851267878079,,,,0.29000000000000004,,SO
2007. 10,1924.8,907.4,3.3232741889032136,9.846547314578014,3.571428571428581,,-9.800625855772015,,,,0.3799999999999999,,SO
2007. 11,1904.0,929.6,3.1200839014158266,6.527093596059119,3.0195381882770933,,-9.507583651275189,,,,0.45999999999999996,,SO
2007. 12,1732.3,938.2,3.2099288482386523,4.572803850782203,2.1164021164021163,,-8.458625760178592,,,-0.17425519431535608,0.3200000000000003,,SO
2008. 01,1689.5,943.9,3.1913180292124643,4.665071770334928,1.9298245614035148,,-9.082767598327678,,,-0.04732857129552892,0.08000000000000007,,SO
2008. 02,1651.2,937.3,2.884662758043066,4.880952380952364,1.3937282229965264,,-9.703737984047144,,,0.07242705607346078,0.0,,SO
2008. 03,1776.6,991.7,3.0621000760008954,6.4056939501779375,1.7331022530329365,,-9.878960730783614,,,0.08174935041954978,-0.03000000000000025,,SO
2008. 04,1846.8,999.7,3.441265797981785,9.015421115065259,2.4263431542461023,,-7.738864631276482,,,0.043025973905026216,-0.009999999999999787,,SO
2008. 05,1758.2,1031.4,4.111149211325538,10.414201183431949,2.772963604852685,,-7.057636649394247,,,0.1706696964899373,0.0,,SO
2008. 06,1569.6,1043.4,4.289901086823766,11.674528301886799,3.119584055459268,,-6.386557315286795,,,0.17927489127094257,-0.0600000000000005,,SO
2008. 07,1537.6,1008.5,4.856773374975609,11.9718309859155,2.936096718480141,,-5.871354868095133,,,0.5069893925142256,0.010000000000000675,,SO
2008. 08,1446.6,1081.8,4.168081905963428,11.682242990654213,3.1088082901554515,,-9.754639795542534,,,0.5500153664192517,0.2400000000000002,,SO
2008. 09,1201.7,1187.7,4.351936011634261,11.52502910360884,3.103448275862064,,-10.091130898325146,,,0.3965560594913249,0.21999999999999975,,SO
2008. 10,1074.0,1291.4,4.347826086956541,10.404624277456653,2.758620689655178,,-10.001695939809881,,,0.6453896085753932,-0.10000000000000053,,SO
2008. 11,1114.9,1482.7,3.864681806657222,8.975834292289985,1.899827288428324,,-10.125541157186516,,,1.2972331132365404,-0.9299999999999997,,SO
2008. 12,1156.4,1257.5,3.4683954619124657,6.2857142857142945,-1.3769363166953652,,-9.494104978449306,,,1.4069493466943572,-1.7100000000000004,,SO
2009. 01,1139.8,1368.5,3.4574404405602666,4.653802497162318,-3.264604810996574,40.7,-9.76526416118176,,,1.2355625506393362,-2.78,,SO
2009. 02,1140.5,1516.4,3.2494409819686876,2.564102564102555,-3.918228279386715,40.8,-10.484232426976464,,,1.1911023776041425,-3.15,,SO
2009. 03,1322.1,1377.1,3.420311131105991,-0.10881392818281599,-4.060913705583758,41.1,-11.286768464291637,,,1.2154837628169906,-3.1199999999999997,,SO
2009. 04,1400.5,1348.0,3.0301248044416917,-1.2861736334405127,-3.8785834738617186,41.2,-11.055886727415349,,,0.9171703437421421,-2.21,,SO
2009. 05,1395.2,1272.9,2.5596290528435928,-2.5343189017951517,-3.529411764705881,41.3,-10.701794063648348,,,0.7500861450776236,-1.36,,SO
2009. 06,1460.0,1284.7,1.9081082967806529,-2.8301886792452824,-3.187919463087241,41.4,-10.770614581371087,,,0.46468051817428313,-0.5000000000000002,,SO
2009. 07,1577.9,1240.5,2.3628190795602633,-2.1966527196652708,-2.5125628140703515,41.4,-10.772834598071821,,,0.4080296525326652,-0.1200000000000001,,SO
2009. 08,1659.5,1244.9,2.35639792813509,-1.9832985386221247,-1.8394648829431315,41.6,-12.439115704593823,,,0.3083528129860212,0.20999999999999996,,SO
2009. 09,1630.6,1188.7,2.355425601039629,-0.5235602094240788,1.1744966442952975,42.3,-12.418025545936855,,,-0.06740735911787443,0.18999999999999995,,SO
2009. 10,1583.5,1200.6,2.358534430650505,0.6335797254487741,3.3898305084745672,42.6,-12.158600737193993,,,-0.3477932890656286,0.09000000000000008,,SO
2009. 11,1646.6,1167.4,2.263761254989327,2.473118279569886,7.329842931937169,43.0,-11.899810218937056,,,-0.4818909077362936,0.07000000000000006,,SO
2009. 12,1682.2,1167.6,2.3478904857784366,3.3622559652928263,9.59147424511546,43.2,-9.613668735045954,,,-0.5077064920793093,0.06000000000000005,,SO
2010. 01,1599.0,1156.5,2.4951617362455103,3.6956521739130554,10.106382978723417,43.3,-9.707702299584167,,,-0.4711344142600371,0.020000000000000018,,SO
2010. 02,1665.5,1158.4,2.0594127411138308,4.2483660130719025,10.582010582010582,43.7,-9.811884511897162,,,-0.46324631904411556,0.020000000000000018,,SO
2010. 03,1730.3,1130.8,2.198906255351707,3.800217155266017,10.701754385964923,44.0,-10.230357659985435,,,-0.4567924229583616,0.009999999999999787,,SO
2010. 04,1648.3,1115.5,2.6099167703707016,3.4669555796316365,10.45296167247387,44.2,-11.62167384085944,,,-0.40229285601199505,0.0,,SO
2010. 05,1691.9,1200.2,2.6099167703707016,2.5889967637540368,10.225303292894283,44.5,-13.328708111102051,,,-0.0917887443307226,0.009999999999999787,,SO
2010. 06,1731.1,1210.3,2.040932412600527,1.3903743315508033,9.45017182130583,44.8,-14.386228923758619,,,-0.05808506477178538,0.0,,SO
2010. 07,1762.2,1187.2,2.0763601293470213,0.42598509052182987,8.688245315161836,45.0,-14.869875419275568,,,-0.013624891736591593,0.20000000000000018,,SO
2010. 08,1815.8,1189.1,2.4962024168499353,-1.1578947368421022,5.970149253731338,45.4,-15.697783076027697,,,0.14198571388658654,0.26000000000000023,,SO
2010. 09,1889.7,1142.0,3.5999409473409294,-1.783840503672618,5.40983606557377,45.8,-15.362401981595452,,,0.2803859299477542,0.27,,SO
2010. 10,1924.7,1126.6,3.5082543824814127,-1.9937040923399652,5.691056910569103,46.3,-15.325613133411867,,,0.49623289903796897,0.25,,SO
2010. 11,2002.5,1157.3,2.6343459925152857,-2.098635886673661,6.482982171799034,46.8,-15.19796217311969,,,0.7450664481220374,0.3700000000000001,,SO
2010. 12,2091.6,1138.9,2.3298941263740325,-2.096436058700213,6.602254428341392,47.3,-10.740644355911186,,,0.6640341972675713,0.2999999999999998,,SO
2011. 01,2002.9,1114.3,3.2359737084146634,-2.298850574712652,6.858054226475274,47.7,-10.956620266368263,,,0.3269974016781992,0.3900000000000001,,SO
2011. 02,2002.7,1127.9,3.4240071496397295,-1.882845188284521,8.240887480190162,48.6,-11.027502228170256,,,0.4001415573167438,0.48,,SO
2011. 03,2153.1,1107.2,3.4102920723226626,-1.675392670157061,9.779179810725536,49.4,-10.91491566691877,,,0.3793456699293144,0.6600000000000001,,SO
2011. 04,2121.9,1072.3,3.5104311543810773,-1.2618296529968376,10.377358490566046,49.8,-9.612875871938549,,,-0.0731441556385446,0.6399999999999997,,SO
2011. 05,2074.6,1080.6,3.919950944868722,-0.9493670886075889,10.047095761381453,50.0,-8.696167547157078,,,-0.1391173156262514,0.52,,SO
2011. 06,2150.1,1078.1,3.8081476129605996,-0.5302226935312793,10.344827586206918,50.5,-7.808160866863662,,,-0.08318354954971735,0.54,0.0,SO
2011. 07,1869.4,1052.6,3.78915236241375,-0.21299254526091493,11.424100156494532,51.1,-7.050659454049082,,,-0.1857287873566965,0.5099999999999998,-0.10000000000000053,SO
